2026-09-17 11:54:11,855 - DigitalTwin - INFO - Scenario: sensor_spike | True: {'co2_ppm': 420.132455458535, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 250.0, 'captured_co2_g': 0.0025207947327512106, 'fan_speed_rpm': 1000.0} | Cmd RPM: 1000.0
2026-09-17 11:54:27,879 - DigitalTwin - INFO - Scenario: sensor_spike | True: {'co2_ppm': 420.2541307685301, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 250.0, 'captured_co2_g': 0.04283744464200784, 'fan_speed_rpm': 1000.0} | Cmd RPM: 1000.0
2026-09-17 11:54:28,881 - DigitalTwin - INFO - Scenario: sensor_spike | True: {'co2_ppm': 419.9116215352258, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 250.0, 'captured_co2_g': 0.04535691437121919, 'fan_speed_rpm': 1000.0} | Cmd RPM: 1000.0
2026-09-17 11:54:29,882 - DigitalTwin - INFO - Scenario: sensor_spike | True: {'co2_ppm': 419.45954336373103, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 250.0, 'captured_co2_g': 0.047873671631401576, 'fan_speed_rpm': 1000.0} | Cmd RPM: 1000.0
2026-09-17 11:54:30,882 - DigitalTwin - INFO - Scenario: sensor_spike | True: {'co2_ppm': 419.9111681685776, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 250.0, 'captured_co2_g': 0.050393138640413046, 'fan_speed_rpm': 1000.0} | Cmd RPM: 1000.0
2026-09-17 11:54:31,883 - DigitalTwin - INFO - Scenario: sensor_spike | True: {'co2_ppm': 419.8921280193425, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 250.0, 'captured_co2_g': 0.0529124914085291, 'fan_speed_rpm': 1000.0} | Cmd RPM: 1000.0
2026-09-17 11:54:32,885 - DigitalTwin - INFO - Scenario: sensor_spike | True: {'co2_ppm': 420.11595613401084, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 250.0, 'captured_co2_g': 0.055433187145333164, 'fan_speed_rpm': 1000.0} | Cmd RPM: 1000.0
2026-09-17 11:54:33,887 - DigitalTwin - INFO - Scenario: sensor_spike | True: {'co2_ppm': 419.7501123133851, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 250.0, 'captured_co2_g': 0.05795168781921348, 'fan_speed_rpm': 1000.0} | Cmd RPM: 1000.0
2026-09-17 11:54:34,888 - DigitalTwin - INFO - Scenario: sensor_spike | True: {'co2_ppm': 419.88715450712243, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 250.0, 'captured_co2_g': 0.060471010746256215, 'fan_speed_rpm': 1000.0} | Cmd RPM: 1000.0
2026-09-17 11:54:35,889 - DigitalTwin - INFO - Scenario: sensor_spike | True: {'co2_ppm': 419.6213217487682, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 250.0, 'captured_co2_g': 0.06298873867674883, 'fan_speed_rpm': 1000.0} | Cmd RPM: 1000.0
2026-09-17 11:54:36,891 - DigitalTwin - INFO - Scenario: sensor_spike | True: {'co2_ppm': 419.34614507997355, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 250.0, 'captured_co2_g': 0.06550481554722867, 'fan_speed_rpm': 1000.0} | Cmd RPM: 1000.0
2026-09-17 11:54:37,892 - DigitalTwin - INFO - Scenario: sensor_spike | True: {'co2_ppm': 419.83879477677254, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 250.0, 'captured_co2_g': 0.06802384831588931, 'fan_speed_rpm': 1000.0} | Cmd RPM: 1000.0
2026-09-17 11:54:38,894 - DigitalTwin - INFO - Scenario: sensor_spike | True: {'co2_ppm': 419.7980379083754, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 250.0, 'captured_co2_g': 0.07054263654333956, 'fan_speed_rpm': 1000.0} | Cmd RPM: 1000.0
2026-09-17 11:54:39,895 - DigitalTwin - INFO - Scenario: sensor_spike | True: {'co2_ppm': 419.855945059784, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 250.0, 'captured_co2_g': 0.07306177221369826, 'fan_speed_rpm': 1000.0} | Cmd RPM: 1000.0
2026-09-17 11:54:40,896 - DigitalTwin - INFO - Scenario: sensor_spike | True: {'co2_ppm': 419.54614336186853, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 250.0, 'captured_co2_g': 0.07557904907386948, 'fan_speed_rpm': 1000.0} | Cmd RPM: 1000.0
2026-09-17 11:54:41,897 - DigitalTwin - INFO - Scenario: sensor_spike | True: {'co2_ppm': 419.3457790990387, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 250.0, 'captured_co2_g': 0.07809512374846371, 'fan_speed_rpm': 1000.0} | Cmd RPM: 1000.0
2026-09-17 11:54:42,898 - DigitalTwin - INFO - Scenario: sensor_spike | True: {'co2_ppm': 419.58597800561824, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 250.0, 'captured_co2_g': 0.08061263961649742, 'fan_speed_rpm': 1000.0} | Cmd RPM: 1000.0
2026-09-17 11:54:43,899 - DigitalTwin - INFO - Scenario: sensor_spike | True: {'co2_ppm': 419.1859861145994, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 250.0, 'captured_co2_g': 0.08312775553318502, 'fan_speed_rpm': 1000.0} | Cmd RPM: 1000.0
2026-09-17 11:54:44,900 - DigitalTwin - INFO - Scenario: sensor_spike | True: {'co2_ppm': 418.9282205218011, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 250.0, 'captured_co2_g': 0.08564132485631583, 'fan_speed_rpm': 1000.0} | Cmd RPM: 1000.0
2026-09-17 11:54:45,901 - DigitalTwin - INFO - Scenario: sensor_spike | True: {'co2_ppm': 419.0716026915678, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 250.0, 'captured_co2_g': 0.08815575447246524, 'fan_speed_rpm': 1000.0} | Cmd RPM: 1000.0
2026-09-17 11:54:46,902 - DigitalTwin - INFO - Scenario: sensor_spike | True: {'co2_ppm': 419.32340476773936, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 250.0, 'captured_co2_g': 0.09067169490107167, 'fan_speed_rpm': 1000.0} | Cmd RPM: 1000.0
2026-09-17 11:54:47,904 - DigitalTwin - INFO - Scenario: sensor_spike | True: {'co2_ppm': 418.9511504881209, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 250.0, 'captured_co2_g': 0.0931854018040004, 'fan_speed_rpm': 1000.0} | Cmd RPM: 1000.0
2026-09-17 11:54:48,906 - DigitalTwin - INFO - Scenario: sensor_spike | True: {'co2_ppm': 419.41518937280887, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 250.0, 'captured_co2_g': 0.09570189294023725, 'fan_speed_rpm': 1000.0} | Cmd RPM: 1000.0
2026-09-17 11:54:49,908 - DigitalTwin - INFO - Scenario: sensor_spike | True: {'co2_ppm': 419.5505237816081, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 250.0, 'captured_co2_g': 0.0982191960829269, 'fan_speed_rpm': 1000.0} | Cmd RPM: 1000.0
2026-09-17 11:54:50,910 - DigitalTwin - INFO - Scenario: sensor_spike | True: {'co2_ppm': 419.9899810962584, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 250.0, 'captured_co2_g': 0.10073913596950444, 'fan_speed_rpm': 1000.0} | Cmd RPM: 1000.0
2026-09-17 11:54:51,912 - DigitalTwin - INFO - Scenario: sensor_spike | True: {'co2_ppm': 420.19721361922734, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 250.0, 'captured_co2_g': 0.10326031925121981, 'fan_speed_rpm': 1000.0} | Cmd RPM: 1000.0
2026-09-17 11:54:52,913 - DigitalTwin - INFO - Scenario: sensor_spike | True: {'co2_ppm': 419.8000364825931, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 250.0, 'captured_co2_g': 0.10577911947011537, 'fan_speed_rpm': 1000.0} | Cmd RPM: 1000.0
2026-09-17 11:54:53,915 - DigitalTwin - INFO - Scenario: sensor_spike | True: {'co2_ppm': 420.03920402139397, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 250.0, 'captured_co2_g': 0.10829935469424373, 'fan_speed_rpm': 1000.0} | Cmd RPM: 1000.0
2026-09-17 11:54:54,916 - DigitalTwin - INFO - Scenario: sensor_spike | True: {'co2_ppm': 420.0805545950695, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 250.0, 'captured_co2_g': 0.11081983802181415, 'fan_speed_rpm': 1000.0} | Cmd RPM: 1000.0
2026-09-17 11:54:55,917 - DigitalTwin - INFO - Scenario: sensor_spike | True: {'co2_ppm': 420.3578430549597, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 250.0, 'captured_co2_g': 0.11334198508014391, 'fan_speed_rpm': 1000.0} | Cmd RPM: 1000.0
2026-09-17 11:54:56,919 - DigitalTwin - INFO - Scenario: sensor_spike | True: {'co2_ppm': 420.70487886859013, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 250.0, 'captured_co2_g': 0.11586621435335545, 'fan_speed_rpm': 1000.0} | Cmd RPM: 1000.0
2026-09-17 11:54:57,920 - DigitalTwin - INFO - Scenario: sensor_spike | True: {'co2_ppm': 420.964868059104, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 250.0, 'captured_co2_g': 0.11839200356171008, 'fan_speed_rpm': 1000.0} | Cmd RPM: 1000.0
2026-09-17 11:54:58,921 - DigitalTwin - INFO - Scenario: sensor_spike | True: {'co2_ppm': 421.2624854831053, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 250.0, 'captured_co2_g': 0.12091957847460871, 'fan_speed_rpm': 1000.0} | Cmd RPM: 1000.0
2026-09-17 11:54:59,922 - DigitalTwin - INFO - Scenario: sensor_spike | True: {'co2_ppm': 420.9356732406184, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 250.0, 'captured_co2_g': 0.12344519251405242, 'fan_speed_rpm': 1000.0} | Cmd RPM: 1000.0
2026-09-17 11:55:00,923 - DigitalTwin - INFO - Scenario: sensor_spike | True: {'co2_ppm': 420.5973628774988, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 250.0, 'captured_co2_g': 0.12596877669131742, 'fan_speed_rpm': 1000.0} | Cmd RPM: 1000.0
