2026-09-17 11:31:29,584 - DigitalTwin - INFO - Scenario: fan_failure | True: {'co2_ppm': 420.132455458535, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 200.0, 'captured_co2_g': 0.002016635786200968, 'fan_speed_rpm': 800.0} | Cmd RPM: 1000.0
2026-09-17 11:32:05,630 - DigitalTwin - INFO - Scenario: fan_failure | True: {'co2_ppm': 418.9511504881209, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 0.06490371073168537, 'captured_co2_g': 0.010077662617653365, 'fan_speed_rpm': 0.2596148429267415} | Cmd RPM: 1000.0
2026-09-17 11:32:06,631 - DigitalTwin - INFO - Scenario: fan_failure | True: {'co2_ppm': 419.41518937280887, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 0.0519229685853483, 'captured_co2_g': 0.010078185272414214, 'fan_speed_rpm': 0.2076918743413932} | Cmd RPM: 1000.0
2026-09-17 11:32:07,632 - DigitalTwin - INFO - Scenario: fan_failure | True: {'co2_ppm': 419.5505237816081, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 0.04153837486827864, 'captured_co2_g': 0.010078603531140607, 'fan_speed_rpm': 0.16615349947311456} | Cmd RPM: 1000.0
2026-09-17 11:32:08,633 - DigitalTwin - INFO - Scenario: fan_failure | True: {'co2_ppm': 419.9899810962584, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 0.03323069989462291, 'captured_co2_g': 0.010078938488605102, 'fan_speed_rpm': 0.13292279957849165} | Cmd RPM: 1000.0
2026-09-17 11:32:09,634 - DigitalTwin - INFO - Scenario: fan_failure | True: {'co2_ppm': 420.19721361922734, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 0.02658455991569833, 'captured_co2_g': 0.010079206586797146, 'fan_speed_rpm': 0.10633823966279332} | Cmd RPM: 1000.0
2026-09-17 11:32:10,635 - DigitalTwin - INFO - Scenario: fan_failure | True: {'co2_ppm': 419.8000364825931, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 0.021267647932558663, 'captured_co2_g': 0.010079420862622217, 'fan_speed_rpm': 0.08507059173023465} | Cmd RPM: 1000.0
2026-09-17 11:32:11,636 - DigitalTwin - INFO - Scenario: fan_failure | True: {'co2_ppm': 420.03920402139397, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 0.01701411834604693, 'captured_co2_g': 0.010079592380943669, 'fan_speed_rpm': 0.06805647338418772} | Cmd RPM: 1000.0
2026-09-17 11:32:12,637 - DigitalTwin - INFO - Scenario: fan_failure | True: {'co2_ppm': 420.0805545950695, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 0.013611294676837544, 'captured_co2_g': 0.010079729609108868, 'fan_speed_rpm': 0.054445178707350175} | Cmd RPM: 1000.0
2026-09-17 11:32:13,639 - DigitalTwin - INFO - Scenario: fan_failure | True: {'co2_ppm': 420.3578430549597, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 0.010889035741470035, 'captured_co2_g': 0.010079839464106722, 'fan_speed_rpm': 0.04355614296588014} | Cmd RPM: 1000.0
2026-09-17 11:32:14,639 - DigitalTwin - INFO - Scenario: fan_failure | True: {'co2_ppm': 420.70487886859013, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 0.008711228593176027, 'captured_co2_g': 0.010079927420659603, 'fan_speed_rpm': 0.03484491437270411} | Cmd RPM: 1000.0
2026-09-17 11:32:15,640 - DigitalTwin - INFO - Scenario: fan_failure | True: {'co2_ppm': 420.964868059104, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 0.006968982874540822, 'captured_co2_g': 0.010079997829386554, 'fan_speed_rpm': 0.027875931498163288} | Cmd RPM: 1000.0
2026-09-17 11:32:16,641 - DigitalTwin - INFO - Scenario: fan_failure | True: {'co2_ppm': 421.2624854831053, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 0.005575186299632657, 'captured_co2_g': 0.010080054196190657, 'fan_speed_rpm': 0.02230074519853063} | Cmd RPM: 1000.0
2026-09-17 11:32:17,642 - DigitalTwin - INFO - Scenario: fan_failure | True: {'co2_ppm': 420.9356732406184, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 0.004460149039706126, 'captured_co2_g': 0.010080099254650789, 'fan_speed_rpm': 0.017840596158824502} | Cmd RPM: 1000.0
2026-09-17 11:32:18,642 - DigitalTwin - INFO - Scenario: fan_failure | True: {'co2_ppm': 420.5973628774988, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 0.0035681192317649005, 'captured_co2_g': 0.010080135272447732, 'fan_speed_rpm': 0.014272476927059602} | Cmd RPM: 1000.0
